circuitId,circuitRef,name,location,country,lat,lng,alt,url,circuit_image,country_flag,length
37,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177,http://en.wikipedia.org/wiki/Detroit_street_circuit,https://upload.wikimedia.org/wikipedia/commons/6/6c/Circuit_Detroit_F1_1983-1988.png,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,2.647 km
38,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,145,http://en.wikipedia.org/wiki/Brands_Hatch,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Brands_Hatch.svg/800px-Brands_Hatch.svg.png,https://www.countryflags.com/wp-content/uploads/united-kingdom-flag-3d-icon-256.png,3.916 km
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,http://en.wikipedia.org/wiki/Circuit_Zandvoort,"https://media.formula1.com/image/upload/c_lfill,w_3392/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Netherlands_Circuit.webp",https://www.countryflags.com/wp-content/uploads/netherlands-flag-3d-icon-256.png,4.259 km
40,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,36,http://en.wikipedia.org/wiki/Zolder,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Zolder.svg/800px-Zolder.svg.png,https://www.countryflags.com/wp-content/uploads/belgium-flag-3d-icon-256.png,4.01 km
41,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,484,http://en.wikipedia.org/wiki/Dijon-Prenois,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dijon-Prenois_Circuit.svg/1200px-Dijon-Prenois_Circuit.svg.png,https://www.countryflags.com/wp-content/uploads/france-flag-3d-icon-256.png,3.801 km
42,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,139,http://en.wikipedia.org/wiki/Fair_Park,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Circuit_Fair_Park_Dallas.svg/520px-Circuit_Fair_Park_Dallas.svg.png,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,Length not found
43,long_beach,Long Beach,California,USA,33.7651,-118.189,12,"http://en.wikipedia.org/wiki/Long_Beach,_California",https://upload.wikimedia.org/wikipedia/commons/d/d3/Long_Beach_1978-1981.png,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,Length not found
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,639,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit,"https://media.formula1.com/image/upload/c_fit,h_704/q_auto/v1740000000/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Las_Vegas_Circuit.webp",https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,6.201 km
45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,609,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Circuito_Permanente_del_Jarama.svg/800px-Circuito_Permanente_del_Jarama.svg.png,https://www.countryflags.com/wp-content/uploads/spain-flag-3d-icon-256.png,3.85 km
46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,485,http://en.wikipedia.org/wiki/Watkins_Glen_International,https://upload.wikimedia.org/wikipedia/commons/2/2a/Watkins_Glen_International_Circuit_Map.png,https://www.countryflags.com/wp-content/uploads/united-states-flag-3d-icon-256.png,5.552 km
